,text,sentiment
48,I am always using the service of UAE Exchange DIP2 branch. All the staffs are very helpful and cooperative. Specially the branch manager Mr. Mamun always provide me the best rate for my personal transaction. I wish all the very best to team UAE Exchange Team DIP2,2
49,Good and excellent staff and service in UAE Exchange Green Community Branch,2
50,"Ms Veda from Riggs metro branch has been serving me from last 10 yrs. An honest hardworking and upright individual whom I can trust blindly. Can’t think of using any other facility except UAE exchange, Rigga metro branch. ⭐️⭐️⭐️⭐️⭐️",2
51,"excellent service, smiling staff by Mr.Rajeesh from Green Community Branch",2
52,they work from hard and they have a gd service,1
53,Alain Sannaya Br staff is too helpful and always giving good service,2
54,Thank you for the smiles the lady and mr. Rajeesh gave when i enter the branch. It is refreshing to see from Green Community Branch,2
55,"Very good and fast service by Mr. Jyothis, Mr. Shelin and Mr.Rajeesh from Green Community Branch",2
56,Uae exchange always giving me Outstanding Customer Service & I want to appreciate Your staff in Rak Mall Ranjith especialy,2
57,Uae Exchange Rak Mall Branch Staff Mr.Renjith is so helpful & Active Staff and I am rating 5 stars for his excellence Service,2
58,i visited matajer al khan branch to enquire about go cash card and the staff Mr Hossam he treated me politely and explained me very well i appreciate his service and assure him that i will visit the branch next time and also i will use remittance and bill payment facility through al khan branch only,2
59,Excellent service by Mr. Rajeesh from Green Community Branch,2
60,Staff was courteous and very helpful in assisting me to complete the transaction. I would appreciate Nancy of UAE exchange LuLu hyper market Fujairah for her support. All the best wishes to Nancy and UAE exchange for my wonderful experience. Best Regards Sujith Varghese,2
61,Had very nice experience. Staff (Nancy ) was very helpful and assisted to complete the transactions quickly.would recommend others to visit UAE exchange centre Lulu centre branch.,2
62,Always I'm getting good service from mega mall branch. especially staff Merlin giving good service.. Friendly service.,2
63,Excellent service from April and Susan at the Kahilidiyah Mall branch. They arranged for my ID to be used quickly and efficiently (in complete contrast to the previous day at another branch). Really helpful and a positive impression for the customer.,2
64,Very happy. Service of Mr. Thejus from Ajman main branch is commendable. Keep it up,2
65,I would like to thanks (Ms. Menchie )in Rolla Souk Branch UAE. Exchange. For providing us a very quick service professional polite and helpful. Me and wife are very happy for her assisting with us from our quiry and transaction payment. Again thank you.,2
66,I frequently use UAE exchange to sent money. Ms Merlin help me in a great way whenever I need. She is having a good knowledge in clearing all my doubts in my transactions. Thank you for all the support.,2
67,Somw of the staff is very professional .like rajevan .mamuna salam .. express serivise is good but ding service is not good,2
68,Nishad@jalaan bani bu ali branch in Muscat High excellence in communicating to customers,0
69,All the staff was found good but Mr.Aakash and sherin was found really cooperative and supportive in falij al qabail branch.,2
70,Ms. Kristine from burjuman metro: She is very fast while doing my transactions as always. She is also very friendly.,2
71,Staffs are very coperative and friendly.Thanks Bittu for ur friendly attitude. Good service...,2
72,From past 15 years I am using UAE Exchange for day to day transactions. Good services. Now new branch in Nesto Ajman is convenient for me. Friendly staff and today I made transaction with Mr. Roushdy and i feel very comfortable and satisfaction while dealing with him. Nice friendly staff.,2
73,Best costomer service experience at UAE exchange sahara centre branch. I can see smiling faces in counters eventhough its busy. Supervisor Nivi jose is very helpful.,2
74,I always visit WTC mall because their staffs are very friendly. They don't let customer stand in line for a long time. I appreciate Mr. Richard for always making it a pleasure visiting this branch.,2
75,"Have been using service of UAE exchange Alfalah Sharjah branch, and Mr. Dhanish has been very co-operative always have seen his with smiling face serving clients. Regards Jenil Jacob",1
76,Mr Nishad from UAE exchange Jalan Bani Buali......very sincere and efficient in his dealings with customers...Appreciate his Efforts for giving his customers a comfortable transaction experience.,2
77,Hi I'm Jamshad. The service at the Jalan Bani Bu Ali branch is very good. Everyone working there is a very loving person. Mr. Nishad's service and cooperation are especially happy.,2
78,good services from zarqa branch thanks to all team in zarqa branch thank you,2
79,Test test test,1
80,"I have been a customer of UAE exchange for a very long time. And I am very much satisfied and happy with their services. I really admire Mr. Nishad from Oman, Jalan Bani Bu Ali Branch for his energetic and dedicated work. Thanks for your constant support. Mohammed Faiyz. Jalan Bani Bu Ali Sultanate of Oman.",2
81,Mr. Ashith from burjuman metro: He is very helpful and efficient. Very fast in doing transactions.,2
82,Excellent and professional dealing at Bbali branch specially mt nishar and mr zaker whose help with smile even at closing time,2
83,Service provided by the UAE Exchange Dragon Mart branch was exceptional.,2
84,"I am using UAE exchange service Ajman branch, Mr.Rajeevan was very helpful, dealing with her last 1yrs to till now. He was very co-operative and responsible to clients with her smiling face. Thank you uae exchange&Mr rajeevan.................",2
85,"Hi I’m Jispaul Paulose Pullan Bidiya branch providing excellent service , specially staff ( arunlal ) giving fast and good service and good eye contact also , am happy with their service .",2
86,Good customer service in Jalan bu Ali branch Nishad and Zakir give the excellent service an quick tranctions to me I like to go there when I have to send money,2
87,"Myself akab ali From national oriental com I always doing personaly and our company money transfer with oman uae exchange jalan bani bu ali branch i mentioned there 2 staff mr zakir and mr nishat they are both of very nice and very helpful person,",2
88,UAE Exchange is always came with great services ... I visited J B BuAli Branch ... Mr. Noshad /Mr. Zakir and other staff is so polite and helpful.. Love the way they deal with clients,2
89,I had a pleasing experience at UAE Exchange Dubai Dragon Mart Branch,2
90,"It is a good company to deal with , quick and reliable and very reasonable prices Staff name Koshy Thomas (employee ID 4507)",2
91,My name is shuja I always sent money this branch I like to mention that Mr najam mawaleh br manager is very cooperative smiling and very nice manager regarding staff belive me I ever seen best staff under one roof wonderful staff Regds shuja,0
92,"We visited today March 17,2019 UAE Exchange Green Community Branch and very pleased with the good service and quick assistance provided by one of their staff Mr. Koshy Thomas (4507). I highly recommend this Branch and keep up the good works.",2
93,"I am using UAE exchange service mega mall branch, sharjah. Ms. Anisha was very helpful, dealing with her last 5yrs to till now. She was very co-operative and responsible to clients with her smiling face. She is doing good job.",2
94,"Ma’am Marie @ Abu Dhabi Main was very helpful and had a pleasant personality. She helped me with my transactions smoothly. Thank you, Ma’am Marie!",2
95,Thank you for giving good service by sh Hamed branch Bharain,2
96,Fast service,1
97,Good service by Mr. Rajeesh from Green Community Branch,2
98,"5* For Aisha Al Kindi She is one of the best Employee in your branch, full of energy and very fast.",2
99,Ms. Aye from Burjuman metro: She is very polite and friendly. She is fast in doing my transactions. Very happy with the service 👍,2
100,iam have been using there service for business and personal transactions. I use to vist sharjah carrefour branch. Best service and conveniently located .,0
101,Merlin from megamall branch She have a good personality and here customer services was good. Quick response for all the questions. All over she s SUPER...,2
102,Excellent service by panorama branch specially Sameer. Well done to the team,2
103,im sharing about khorfakkan branch staff behaviour is nice especially ms shaima and mr budi imam,0
104,Thanks for the exellent service friendly with the smile Ms.Daisy sinsuat electra branch perfect service .Exziquiel Marquez khadiya fresh food department..,2
105,Good service by akhil in Manama branch,2
106,Good Service,2
107,It's good to exchange,2
108,"Nancy Stanly of UAE Exchange, Lulu Mall Fujairah Thumbs up for the excellent products and services especially to one of their staffs Mrs. Nancy Stanly for patiently assisting me with my transactions. Such an effective and efficient employee! We need someone like her so customers would always want to come back and make transactions with UAE Exchange.",2
109,"Nancy Stanly of UAE Exchange, Lulu Mall Fujairah Thumbs up for the excellent products and services especially to one of their staffs Mrs. Nancy Stanly for patiently assisting me with my transactions. Such an effective and efficient employee! We need someone like her so customers would always want to come back and make transactions with UAE Exchange.",2
110,Iam dealing with uaeexchange alfalah plaza sharjha with hosam really very nice employee and he is helping me too much in my transaction,0
111,"Good service and well trained employees. Specially Mylene with a professional customer service. She's not just doing her job, she make sure that customer will be satisfied with the service. Active, friendly and enthusiastic personality. You did a great job ! KUDOS TO FUJAIRAH LULU STAFF ! MABRUK !",2
112,I would like to thank everyone here at UAE Exchange of the Lulu Mall branch Fujairah for you division of excellent service and support to the customers. Also I would like to specially mention Ms. Nancy and Mr. Mujeeb. They have provided timely and helpful advice regarding all the transactions I've made there. Ms. Nancy had been extremely attentive and listened to all my concerns with great deal of patience. Please accept my gratitude towards her and your company for the very mentionable service you offer.,2
113,IM A regular customer with UAE EXCHANGE mainly mega mall branch with optimum and number one ☝️ customer service and I’m specifying Maryan she is smiley face and very helpful thank you for her nice and rapid finalization of all money transfer all the best.,2
114,Thanks Mr.Bashudev for your prompt response and cooperation. great customer service @ Emirates Metro branch!!,2
115,"Always going to uae Exchange dana mall for transaction. Good customer service from the staff, also will recommend to my friends.",2
116,UAE Exchange is easy and reliable!,2
117,Very good experience with Uae exchange dananall branch . Always giving maximum rates,2
118,Extremely customer orientated. Very helpful. Especially Ms. Merlin from Mega Mall branch.,2
119,It was a good experience dealing with your company and specially with you employe ahmed in city center branch.,2
120,Good service from uae exchange ramli mall branch and good service from bhagyaraj...,2
121,Thank you for giving good service by sh.hamad branch,2
122,I would like to thanks Mr jamil uae exchange muharraq branch for giving me service which i need Many thanks for your kind and efficient service. I have already and will definitely continue to recommend your services to others in the future .,2
123,im regular customer of uae exchange sh hamad branch manama. Im always getting good service and rates from there,2
124,Had a great secvice by Jamil khan at muharraq branch. Wishing him success in future in life.,1
125,Thankyou Sh.Hamad branch for giving good rates and good service.,2
126,I am a regular customer of UAE Exchange from last couple of years you guys are doing tremendous job especially the staff of Dana Mall Branch Liaqat and all very friendly and professional Thank you for the best service.,2
127,Best service from uaexchange riffa branch,1
128,Uae exchange best .. masud and john too helpful,2
129,I am using uaeexchange for last 3years and my experience with alnahda branch is superb. Best rate are being offered for pakistan by al nahda branch. All the staff is helpful especially want to mention the names of Muhammad Sajjad & Shafi shaik. Their service is outstanding and i feel being part of alnahda branch family. Best Regards MUHAMMAD HASEEB,2
130,Have good response,2
131,Uae exchange Manama souq is the best i am happy customer and dont go anywhere...... good job all,2
132,Im siraj im your regular customer of ramli mall branch every month im sending money from there im getting bestservices,0
133,I am a regular customer of UAE exchange Manama souq branch I get money on time and get good service by Adarsh,2
134,Asad good service,2
135,Happy to here in riffa lulu,2
136,Your Manama souq branch I like so much. Your staff Mr. Shankar and aslam also given me good services.,2
137,They are very courteous and well accommodating especially one of the Customer Service Representative there named Monsour Palomaria.,2
138,I am a old cusromer of uaeexchange and I like the service specially from manama souq branch good service given by staffs there they are very free to help,2
139,It's Good Can easily exchange,2
140,I M a customer of uaeexchange Manama souq branch and I like the service,0
141,I am always getting fast and good service from akhil,2
142,It's good I love uaeexchange,2
143,Excellent service provided by uae exchange and special thanks to Mr Farhan staff to giving me good customer service,2
144,very good servoce in uaeexchange.. excellent service always.. all the best masud bhao,2
145,Good service pradeepan,2
146,Uae exchange is the best bank to send money in bangladesh.i alwyes come to lulu market branch riffa.,1
147,I'm customer of Manama souq branch. I'm happy with your services. Your staff Mr shankar he is nice man and he give me good services.,2
148,My name is Abul kashem I'm your ramli mall branch customer I'm getting very nice services from the branch. I wish your allround of success.,0
149,Thanks to uaeexchange for giving excellent service. I alwyes come to lulu market branch to send money .i am expecting same service comming days.,2
150,We are use in exchange last 10yeyear. Is very good.,2
151,I always use UAE exchange for better rate and good service..,2
152,Uae excjange is the best. Masud and his manager are excellent,2
153,Excelent service,1
154,"All my transactions are to be done thrugh Oman UAE Exchange- Allhoudh Branch.. great service and very cooperative to solve these matters, i recommend to deal with this great conpany specially Sony Thomas.",1
155,I am an old customer of uaeexchange manama souq I come here everytime whenever I want to send money I like their service and they have very kind staff keep up the good work,2
156,I am regular customer of uae exchange Manama Souq I like their service,0
157,Uaeexchange are best remittance sending company.i m using they're riffa lulu market branch. specially Bangladeshi staffs are very friendly. Best wishes for them.,2
158,I am an old customer of uaeexchange mañana soul branch I have been sending money from last 4 years I am a happy customer keep up the good service I get good service from Aslam adarsh shankar and humaira,2
159,I m regular customer of uaeexchange riffa lulu branch.they're staff are very friendly. Best of luck uaeexchange.,2
160,Happy to make transaction with riffa lulu uae exchange,2
161,I am a regular customer of uaeexchange manama souq and like their service specially by staff they treat me well By shankar and humaira,2
162,"My last visit to UAE exchange al Nahda branch was a great experience, as I met this guy called Benard. His services were quite helpful to me and this made my transaction easier. I would recommend this company to anyone with such people as staff members.",2
163,i am aregular customer of uaeexchange manama souq branch and i like tgeir service,0
164,They served very well ..i went in lulu riffa branch,1
165,Nice service and good behavior,2
166,"Always getting good service from qarn al alam branch.Happy to being your customer, staff also very friendly thanks to mr Sanil and Arjun",2
167,From last one year i came uae exchange in manama main branch. I would like to apriciate mr.Amran who give me well support i visit last time. Thanks,2
168,I just love how fast their online service which I can do anytime and hussle free using my credit card.,2
169,Im glad to review about manama branch every time iam sending money through manama branch and they are service very very perfect no that mich waiting time and good cashiers i want to specialy say thanks to one cashier name is Rinju this cashier very smart on work and when iam sendig money this cashier talking and careing frindly Thank you,2
170,Thank you Al souk sharjah branch for having excellent service and to ms. Farhath for assisting me,2
171,"Really I would like to deep thank mr hossam and Mrs rosrmary after i faced a major problem when i miss write the receiver name in other branch, they really was too helpful and corporating where my wife in muscat waiting for that emergency transfer, im glad that my preferred exchange company have such professional people in line with helping sense Eng. Abdallah 12 years costumer And i will mention every one to use ur kind service.",2
172,My self Salman khan i m your regular customer of Al Rolla old souk branch Ms Farhat. Im very happy about your services all the best ..,2
173,Excellent service,2
174,Hai. I am using uaeexchange services since last 4 years and i am extreamely happy with service....thank u...best service from manama branch .,2
175,yes i will definitely recommend this company to my friends and family. had a great experience with them sent money back home India great experience.,2
176,"I got excellent service from hamdan co -op Br Abu Dhabi . , Especially Susheel and shahul .Highly appreciate their hardworking mentality .Thanks to UAE exchange",2
177,It’s excellent,2
178,My self Nasir uddin im your regular customer of Ramli mall branch. Im very happy about your services all the best Uaebexhange..,2
179,It’s very good. And easy allso I love Uaeexchange,2
180,"Thank You for the excellent customer service that I had so many times, especially to Ms. Cheryl Ida Mayo of Exhibition Branch. She’s doing a great job were she’s very helpful & responsive in all my transactions and concerns.",2
181,"I am a regular customer of UAE Exchange for corporate transactions.I would really like to thank and appreciate Ramya of Sharjah city center branch.She is just excellent!! always very helpful,professional,friendly and fast.Thanks again for your best service and support Ramya.",2
182,Im regular customer of uae exchange and Im very happy with Customer service given by Siraj from Sh.hamad branch Bahrain. Thank you all.,2
183,"To Mylene of Lulu Mall Fujeirah Branch, thank you so much for your kind assistance. You are one of a kind. I hope to see you on my next transaction with Uae exchange. Keep up the good work",2
184,Thumbs up for the excellent products and services especially to one of their staffs Ms Mylene Hidalgo for patiently assisting me with my transactions. Such an effective and efficient employee! We need someone like her so customers would always want to come back and make transactions with UAE Exchange.,2
185,I get great customer service from your company. Especially from Mr.Akhil (branch opposite yateem centre bahrain) gives good rates and explains about various offers available.,2
186,Nancy lulu mall,1
187,Hi It's very easy and convenient w To work with UAE exchange Bahrain. Ms. SREEJA is very helpful in assisting Thank you Ramesh,2
188,I had money sent from uae exchange. I have done two transaction and staff mr. Farhan gave me good service and offered gift as a part of doing two transaction. Happy to be customer of uae exchange,2
189,Good service by Jamil at muharraq branch. Wish him success in future life,2
190,I visited UAE exchange Al Nahda branch and I was served by one Mr. Bernard who gave me the best customer service I have ever received in all my stay in UAE. I recommend a promotion.,1
191,Very good & quick service in UAE Exchange Sharjah Al Nahda. My request was handled by Mr. Sajjad in Al Nahda Sharjah branch. Keep up the good work.,2
192,"The service is really good , especially exhibition branch staff, Saritha Rajesh. I appreciate her pleasant nature in dealing the confused customers like me.",2
193,Thank you dibba branch for having excellent service and to ms. Maricel for assisting me,2
194,Dubai mall branch is very good Sam vic helped me fro change and ms jan I ll come back again,2
195,Very good service and best rates also. All the best uae exchange,2
196,Dubai Mall Branch Jan is so helpful and enthusiastic employee Thanks for all help and support Vvikas Verma 0551605817,2
197,"I do appreciate the service, especially that of Mr. Akhil who is prompt & efficient. Keep it up.",2
198,Good experience in muharraq brach uaeexchange,2
199,I have sent money from exibition branch it was a real nice experience. The guy who served me was at his best and was very professional . I remember his name “wahab”,1
200,"Have been using service of UAE exchange sharjah city centre branch, and Ms. Ramya has been very co-operative, dealing with her since 7- 8 yrs, and have not had any issues. always have seen her with smiling face serving clients.",1
201,I'm your regular customer.your services so good.your staff Ms.Humaira given me good service also. Abrar Ahmad 33405203,2
202,Thanks UAE exchange riffa Lulu Branch for the service,2
203,Excelent experience I send money from excibation branch.have good experience. Mr abdul wahab is very cooperative.,2
204,I send moeny from exhibition branch it was really pleasant the staff was really good their I'll mention abdulwahab and one lady their saritha they really guided me through. Nice experience it was.,2
205,I was sent money through your exchange on last January( Exhibition road branch) Good service and they know how to behave customer.........,2
206,Happy to inform that I got Excellent service at Qaran Alam branch.Staff name is Sanil & Arjun. Always updating best rate and providing best service also. Thank You.,2
207,I would prefer the service given to me is the best. Service is the best.,2
208,Happy to inform that I got Excellent service at Sharjah branch Al Rolla old souk. Staff name is Farhat. Always updating best rate and providing best service also.,2
209,Happy to inform that I got Excellent service at Ras Al Khaimah main branch. Staff name is Sukumar. Always updating best rate and providing best service also.,2
210,"I Visited uae exchange Hamdan adcop branch on 14-03-19 for the tranfer of an amount of AED 900 for purchasing a Parrot.The receiving account is in Cameron. After the transer the amont, the pet owner once again called me and asked for an additional amount of AED. 3,290/- for the carriage or something. Again i visited the same branch for the intension of transfer of said amount. But the counter staff Mr.Bhupen suspected it will be a scam and warned me about the transcation. any how I transfer that amount and i cancelled transcation immediately because of the advise received from Mr.Bhupen. Later i came to know that the pet owner is a fraud and by God grce and counter staff Mr.Bhupen i saved the amount of AED. 3,290. In this occasion i would like to exprees my sincere thanks and grattitude towards Mr.Bhupen for his adivse and quick action against the scam/Transaction. Thanks & Regards Asif +971- 502 385 295",2
211,I have always received superior service from Farah. Very helping. Customer focused.,2
212,"Excellent service at Dubai International City Branch provided by Mr. Zeeshan, appreciate all your support, help, and quick response. keep the good service, and all the best.",2
213,"I am very pleased with Uae Exchange. I had the best experience since I’ve first interacted with Mr Ding from the Emirates Metro branch station. A very professional and helpful employee, that is kind enough to provide relevant informations and help whenever querries arise.",2
214,Rizza rak main,1
215,"To the UAE exchange management team I have been a loyal customer over a period of time and the satisfaction level grown each year with the customer friendly service provided by your organisation. To mention here my recent experience with one of your customer service staff Muralidhar Shetty who provides his valuable service at Sharjah International Airport. First and foremost, Muralidhar greets his customers with his contagious smile which brighten ups even a doomed day. He works one step ahead by providing the best rates and time frame which is beneficial to the customers in terms of monitory considerations. Processing time taken to finish the transaction is minimal along with good customer service etiquette. One out of the box experience I have noticed is every customer leaves the counter with a smile. There may be a numerous in-depth qualities Muralidhar has adapted and executing while at work but above are a few I noticed at my very short time while doing a transaction at Sharjah Airport. I sincerely wish Muralidhar a brighter future and career with UAE Exchange as having such team is an asset on its own to the organisation while their small friendly gestures speak a million towards the organisation. Keep up the good work and best wishes always. Regards Clement Dmello Operations Manager Sharjah Aviation Services # 0505476088",2
216,Great service,2
217,"I have a good experience with UAE exchange. When I was at ajmen to meet my friend my family needs money urgently. I was gone rushed to UAE EXCHANGE, ajmen main branch. Unlucky the counter was getting close due to lunch. There was a staff name Athira Raj who open the counter and collected my money since I told it's a emergency. Thanks a lot for UAE EXCHANGE WHO HAVING GREAT COUSTOMER SUPPORT.",2
218,"Name shakaoth,, khorfakkan branch",0
219,I want to appreciate uae exchange ajman branch for excellent customer service done by staff name SALMA.He is very friendly and showing interest to attend me for my transaction.I visited uae exchange Ajman man branch because of my colleague informed me about salma.Thank you uae exchange for having a staff like salma.Very Satisfied customer here.,2
220,on my visit Ms Hafsa give us excellent service and am very impressed the way he deal with customer v polite.,2
221,UAE exchange it's best service sending money alwyas great service best rate and easy way sending. All Staff is friendly .I would like to thanks to Menchie from rolla souk branch all the time she give best customer service thanks again.,2
222,A Feedback: Menchie - UAE Exchange Rolla Souk Branch Sharjah I always look for her everytime I have transactions with UAE Exchange and will go particularly in this branch. She always serve with a smile and would recommended other options if particular transactions is not available at the time of service. She as well treat other customers with courtesy and smile. Good job to Menchie and keep up the good work!,2
223,Very atttentive to the customers.,2
224,"Dear UAE EXCHANGE, Am using this platform to appreciate Mr. Shafeek from Sahara center branch for the excellent service to me all time with a million dollars worth smile...😊. With a good personality, who looks all the ways to satisfy me through professionaly, personally and perfectly , at the same time a good listener even more rush in the counter. Please pass my thanks from my bottom of my heart to Mr. Shafeek through your end. And thank you UAE EXCHANGE to maintain this type of good Employee in your company. Regards Basi.",2
225,She is approachable and very accomodating.,2
226,I want to appreciate uae exchange sharjah airport branch for excellent customer service done by staff name salvador. He is very friendly and showing interest to attend me for my transaction. I visited uae exchange sharjah airport because of my colleague informed me about salvador. Thank you uae exchange for having a staff like salvador. Very Satisfied customer here.,2
227,Always I'm getting good service @ Uae exchange specially staff Sukumar from Raw Al Khaimah main branch giving good service.. Friendly service.,2
228,I have visited in your branch which is in RAK main branch.The lad her Name(HAFSA) customer dealing was amazing she talk and serve so nicely and had a great experience during my visit.,2
229,I am Mahalakshmi Suresh..and have always been using Uae Exchange Services; Al Fahidi Branch... Have had an excellent experience with Renju Jacob who has a very friendly and professional approach mixed. Prefer always to do all the services catered thru Uae Exchange for money transfers: credit card settlements. Well done Uae Exchange for such a professional staff having with you to make things easier with the views shared to the best of their abilities. Regards Mahalakshmi Suresh,2
230,Such great services being received in RAK mall all the time. They have never failed me.,1
231,Had a great experience from emirates headquarters uae exchange branch. Thank you Mr. Akhil for introducing about your products and services. I aapreciate and suggest my friends to visit.,2
